Marital,Mode,Order,Course,Attendance,Qualification,Nationality,Mother-Q,Father-Q,Mother-O,Father-O,Displaced,Need,Debtor,Fee,Gender,Scholarship,Age,1st,2nd,Unemployment,Inflation,GDP,Target
1 ,8 ,5 ,2 ,1 ,1 ,1 ,13 ,10 ,6 ,10 ,1 ,0 ,0 ,1 ,1 ,0 ,20 ,0 ,0 ,10.8 ,1.4 ,1.74 ,0 
1 ,6 ,1 ,11 ,1 ,1 ,1 ,1 ,3 ,4 ,4 ,1 ,0 ,0 ,0 ,1 ,0 ,19 ,6 ,6 ,13.9 ,-0.3 ,0.79 ,1 
1 ,1 ,5 ,5 ,1 ,1 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,0 ,1 ,0 ,19 ,0 ,0 ,10.8 ,1.4 ,1.74 ,0 
1 ,8 ,2 ,15 ,1 ,1 ,1 ,23 ,27 ,6 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,6 ,5 ,9.4 ,-0.8 ,-3.12 ,1 
2 ,12 ,1 ,3 ,0 ,1 ,1 ,22 ,28 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,45 ,5 ,6 ,13.9 ,-0.3 ,0.79 ,1 
2 ,12 ,1 ,17 ,0 ,12 ,1 ,22 ,27 ,10 ,8 ,0 ,0 ,1 ,1 ,1 ,0 ,50 ,5 ,5 ,16.2 ,0.3 ,-0.92 ,1 
1 ,1 ,1 ,12 ,1 ,1 ,1 ,13 ,28 ,8 ,11 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,7 ,8 ,15.5 ,2.8 ,-4.06 ,1 
1 ,9 ,4 ,11 ,1 ,1 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,0 ,1 ,0 ,22 ,0 ,0 ,15.5 ,2.8 ,-4.06 ,0 
1 ,1 ,1 ,10 ,1 ,1 ,1 ,1 ,14 ,5 ,8 ,1 ,0 ,1 ,0 ,0 ,0 ,18 ,5 ,2 ,8.9 ,1.4 ,3.51 ,0 
1 ,1 ,1 ,14 ,1 ,1 ,1 ,23 ,14 ,6 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,5 ,13.9 ,-0.3 ,0.79 ,1 
1 ,1 ,1 ,12 ,1 ,1 ,1 ,13 ,28 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,7 ,7 ,12.7 ,3.7 ,-1.70 ,1 
1 ,1 ,2 ,16 ,1 ,1 ,1 ,13 ,27 ,5 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,0 ,0 ,12.7 ,3.7 ,-1.70 ,0 
1 ,17 ,1 ,11 ,1 ,16 ,1 ,1 ,1 ,5 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,21 ,6 ,5 ,8.9 ,1.4 ,3.51 ,1 
1 ,1 ,1 ,6 ,1 ,1 ,1 ,23 ,27 ,6 ,6 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,4 ,5 ,10.8 ,1.4 ,1.74 ,1 
1 ,1 ,1 ,15 ,1 ,1 ,1 ,13 ,27 ,10 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,5 ,0 ,15.5 ,2.8 ,-4.06 ,0 
1 ,8 ,2 ,12 ,1 ,1 ,1 ,13 ,1 ,6 ,5 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,7 ,8 ,15.5 ,2.8 ,-4.06 ,1 
1 ,1 ,1 ,8 ,1 ,1 ,1 ,3 ,14 ,4 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,4 ,4 ,10.8 ,1.4 ,1.74 ,1 
1 ,1 ,3 ,2 ,1 ,1 ,1 ,1 ,1 ,10 ,9 ,0 ,0 ,0 ,1 ,0 ,1 ,21 ,0 ,0 ,11.1 ,0.6 ,2.02 ,1 
1 ,1 ,4 ,12 ,1 ,1 ,1 ,13 ,14 ,2 ,2 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,7 ,7 ,12.7 ,3.7 ,-1.70 ,1 
1 ,1 ,4 ,14 ,1 ,1 ,1 ,1 ,28 ,5 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,19 ,6 ,6 ,11.1 ,0.6 ,2.02 ,1 
1 ,1 ,1 ,12 ,1 ,1 ,1 ,13 ,14 ,4 ,8 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,7 ,11.1 ,0.6 ,2.02 ,1 
1 ,8 ,2 ,10 ,1 ,1 ,1 ,13 ,28 ,8 ,9 ,1 ,0 ,0 ,1 ,0 ,0 ,21 ,6 ,6 ,16.2 ,0.3 ,-0.92 ,1 
1 ,1 ,1 ,9 ,1 ,1 ,1 ,13 ,1 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,5 ,5 ,16.2 ,0.3 ,-0.92 ,1 
1 ,16 ,1 ,5 ,1 ,1 ,1 ,27 ,3 ,16 ,22 ,1 ,0 ,0 ,1 ,1 ,0 ,20 ,6 ,4 ,8.9 ,1.4 ,3.51 ,1 
1 ,9 ,1 ,3 ,0 ,1 ,1 ,13 ,1 ,10 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,6 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,1 ,17 ,0 ,1 ,1 ,2 ,27 ,4 ,10 ,0 ,0 ,0 ,1 ,1 ,0 ,34 ,5 ,5 ,13.9 ,-0.3 ,0.79 ,1 
1 ,12 ,1 ,1 ,1 ,1 ,1 ,23 ,27 ,10 ,7 ,0 ,0 ,1 ,0 ,1 ,0 ,37 ,0 ,1 ,8.9 ,1.4 ,3.51 ,0 
1 ,12 ,1 ,7 ,1 ,8 ,1 ,19 ,27 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,43 ,0 ,0 ,7.6 ,2.6 ,0.32 ,0 
1 ,14 ,1 ,9 ,1 ,1 ,1 ,22 ,27 ,7 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,55 ,1 ,2 ,16.2 ,0.3 ,-0.92 ,0 
4 ,12 ,1 ,17 ,0 ,1 ,1 ,13 ,14 ,10 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,39 ,5 ,5 ,7.6 ,2.6 ,0.32 ,1 
1 ,1 ,5 ,15 ,1 ,1 ,1 ,3 ,3 ,3 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,18 ,4 ,0 ,12.7 ,3.7 ,-1.70 ,0 
1 ,1 ,2 ,9 ,1 ,1 ,1 ,3 ,14 ,3 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,22 ,5 ,5 ,8.9 ,1.4 ,3.51 ,1 
1 ,1 ,6 ,12 ,1 ,1 ,1 ,1 ,3 ,3 ,3 ,1 ,1 ,0 ,1 ,0 ,0 ,22 ,5 ,7 ,11.1 ,0.6 ,2.02 ,1 
1 ,8 ,1 ,15 ,1 ,1 ,1 ,1 ,28 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,4 ,5 ,12.4 ,0.5 ,1.79 ,0 
1 ,12 ,1 ,17 ,0 ,1 ,1 ,22 ,27 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,29 ,0 ,0 ,16.2 ,0.3 ,-0.92 ,0 
1 ,8 ,2 ,10 ,1 ,1 ,1 ,13 ,14 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,5 ,11.1 ,0.6 ,2.02 ,1 
1 ,8 ,6 ,12 ,1 ,1 ,1 ,22 ,14 ,8 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,22 ,6 ,7 ,11.1 ,0.6 ,2.02 ,1 
1 ,15 ,1 ,3 ,0 ,14 ,1 ,1 ,14 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,21 ,6 ,6 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,1 ,10 ,1 ,1 ,1 ,22 ,28 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,19 ,5 ,6 ,12.7 ,3.7 ,-1.70 ,1 
1 ,12 ,1 ,11 ,1 ,1 ,1 ,13 ,28 ,10 ,8 ,0 ,0 ,0 ,1 ,0 ,1 ,24 ,6 ,6 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,3 ,8 ,1 ,1 ,1 ,22 ,27 ,12 ,12 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,5 ,7.6 ,2.6 ,0.32 ,1 
1 ,12 ,1 ,17 ,0 ,1 ,1 ,23 ,28 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,27 ,5 ,5 ,9.4 ,-0.8 ,-3.12 ,0 
1 ,1 ,1 ,12 ,1 ,1 ,1 ,1 ,14 ,6 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,7 ,8 ,15.5 ,2.8 ,-4.06 ,1 
2 ,4 ,1 ,11 ,1 ,3 ,1 ,1 ,3 ,5 ,4 ,0 ,0 ,0 ,1 ,0 ,0 ,39 ,0 ,0 ,12.4 ,0.5 ,1.79 ,0 
1 ,12 ,1 ,8 ,1 ,15 ,1 ,3 ,3 ,3 ,3 ,1 ,0 ,0 ,1 ,0 ,0 ,27 ,5 ,10 ,12.4 ,0.5 ,1.79 ,0 
1 ,8 ,1 ,12 ,1 ,1 ,1 ,23 ,28 ,8 ,11 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,8 ,8 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,1 ,2 ,12 ,1 ,1 ,1 ,13 ,14 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,7 ,16.2 ,0.3 ,-0.92 ,1 
1 ,15 ,1 ,10 ,1 ,14 ,1 ,13 ,1 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,21 ,6 ,6 ,13.9 ,-0.3 ,0.79 ,1 
4 ,13 ,1 ,12 ,1 ,12 ,1 ,1 ,1 ,6 ,6 ,1 ,0 ,0 ,1 ,1 ,0 ,29 ,5 ,5 ,13.9 ,-0.3 ,0.79 ,0 
1 ,1 ,3 ,2 ,1 ,1 ,1 ,13 ,14 ,6 ,4 ,1 ,0 ,0 ,1 ,1 ,1 ,19 ,0 ,0 ,10.8 ,1.4 ,1.74 ,1 
